"","LifeExpec","AdMortality","InfDeaths","Alcohol","Pexpedict","HepatB","Measles","BMI","U5Deaths","Polio","TotalExpend","Diphtheria","HIV","GDP","Population","thin1to19","thin5to9","IncomeComp","Schooling"
"LifeExpec",1,-0.770068893687047,-0.200942462847366,0.529510033250336,0.41259578463914,0.252097591011508,-0.0487562559691859,0.555226486506446,-0.228570188060058,0.385155792852967,0.319310985066287,0.342463550694884,-0.617105621184571,0.443770929900326,-0.0360314578618324,-0.436944186867056,-0.460959028483435,0.892017002825082,0.801796341668998
"AdMortality",-0.770068893687047,1,0.154287370330351,-0.274181344391583,-0.2518883259738,-0.194356181619899,0.0494409761323298,-0.399416668362563,0.179066757396224,-0.340701781830218,-0.139522599587001,-0.232558707723808,0.65087780156126,-0.2842648202115,0.0259033202378649,0.264375081026466,0.289727636030695,-0.667555340796607,-0.570877996901948
"InfDeaths",-0.200942462847366,0.154287370330351,1,-0.094680749974927,-0.097875619693174,-0.0867404314787683,0.696490629809606,-0.220815511638082,0.995385655469306,-0.125186161560962,-0.152634744497938,-0.0917612142364272,0.0692546615173941,-0.0991562714794219,0.848981892964336,0.483707317655748,0.546935946171458,-0.194623628620228,-0.211116174450918
"Alcohol",0.529510033250336,-0.274181344391583,-0.094680749974927,1,0.465352327373236,0.0807781396911426,0.0394796340352423,0.366046049186348,-0.104971442634207,0.190882246800505,0.270736751862691,0.193975262043228,-0.228370387304116,0.446462414604536,0.00968179103707283,-0.365996526386834,-0.379597513229302,0.611390715263389,0.583658950603407
"Pexpedict",0.41259578463914,-0.2518883259738,-0.097875619693174,0.465352327373236,1,0.10716902190569,-0.0711081087343572,0.152045949980385,-0.100323726821329,0.1407719120607,0.23918424144582,0.136530476532961,-0.140575970612656,0.947421497302203,-0.0379729976641509,-0.241917872633789,-0.255424415338364,0.445437174716953,0.397964398616567
"HepatB",0.252097591011508,-0.194356181619899,-0.0867404314787683,0.0807781396911426,0.10716902190569,1,-0.0220696368884583,0.070812686061737,-0.100128863673795,0.649104222612896,0.102111977935251,0.891851740991296,-0.182798302964383,0.139519516500929,-0.0309835359551078,-0.00562162413269112,-0.0358871175060124,0.216309811063674,0.255165978002655
"Measles",-0.0487562559691859,0.0494409761323298,0.696490629809606,0.0394796340352423,-0.0711081087343572,-0.0220696368884583,1,-0.146416772495409,0.665892634701881,-0.0382082542394569,-0.0991600499173614,-0.0265580862025137,-0.0547298619235,-0.05234522486485,0.687827124369008,0.262445204861333,0.343426221925653,-0.0412790625825054,-0.0626404145197006
"BMI",0.555226486506446,-0.399416668362563,-0.220815511638082,0.366046049186348,0.152045949980385,0.070812686061737,-0.146416772495409,1,-0.230665327294314,0.138220839835375,0.160387844015361,0.118855693750819,-0.321547221208873,0.192290059492549,-0.120054351318603,-0.534889376702864,-0.575855963271755,0.62880206661869,0.555856206867194
"U5Deaths",-0.228570188060058,0.179066757396224,0.995385655469306,-0.104971442634207,-0.100323726821329,-0.100128863673795,0.665892634701881,-0.230665327294314,1,-0.139573649485976,-0.15659779143881,-0.108469071571224,0.0944519151231958,-0.102847691268566,0.808718459030992,0.462880470721736,0.538104557823215,-0.215790602333856,-0.228966872712799
"Polio",0.385155792852967,-0.340701781830218,-0.125186161560962,0.190882246800505,0.1407719120607,0.649104222612896,-0.0382082542394569,0.138220839835375,-0.139573649485976,1,0.23763458168944,0.734660391832504,-0.313946558007406,0.176079974827725,-0.0667030251088644,-0.0558163760512235,-0.0804762977309598,0.356371400783281,0.363440042777431
"TotalExpend",0.319310985066287,-0.139522599587001,-0.152634744497938,0.270736751862691,0.23918424144582,0.102111977935251,-0.0991600499173614,0.160387844015361,-0.15659779143881,0.23763458168944,1,0.193098549498865,-0.0964262240554906,0.166401083868217,-0.0805219522469385,-0.212736867547166,-0.259476889531773,0.263175834905427,0.302039916291627
"Diphtheria",0.342463550694884,-0.232558707723808,-0.0917612142364272,0.193975262043228,0.136530476532961,0.891851740991296,-0.0265580862025137,0.118855693750819,-0.108469071571224,0.734660391832504,0.193098549498865,1,-0.187636041626574,0.162961098794505,-0.0110591426136603,-0.0579784521985272,-0.0897386089407252,0.326884168676663,0.340517929435487
"HIV",-0.617105621184571,0.65087780156126,0.0692546615173941,-0.228370387304116,-0.140575970612656,-0.182798302964383,-0.0547298619235,-0.321547221208873,0.0944519151231958,-0.313946558007406,-0.0964262240554906,-0.187636041626574,1,-0.165878015415615,-0.0455511888883225,0.151857167882692,0.152660095718004,-0.476662876924803,-0.385705222006329
"GDP",0.443770929900326,-0.2842648202115,-0.0991562714794219,0.446462414604536,0.947421497302203,0.139519516500929,-0.05234522486485,0.192290059492549,-0.102847691268566,0.176079974827725,0.166401083868217,0.162961098794505,-0.165878015415615,1,-0.0415555442136109,-0.271913960182961,-0.285267659313953,0.503079222798588,0.44947903456528
"Population",-0.0360314578618324,0.0259033202378649,0.848981892964336,0.00968179103707283,-0.0379729976641509,-0.0309835359551078,0.687827124369008,-0.120054351318603,0.808718459030992,-0.0667030251088644,-0.0805219522469385,-0.0110591426136603,-0.0455511888883225,-0.0415555442136109,1,0.452937956572375,0.442772289020316,-0.0468743564462042,-0.0527852505317997
"thin1to19",-0.436944186867056,0.264375081026466,0.483707317655748,-0.365996526386834,-0.241917872633789,-0.00562162413269112,0.262445204861333,-0.534889376702864,0.462880470721736,-0.0558163760512235,-0.212736867547166,-0.0579784521985272,0.151857167882692,-0.271913960182961,0.452937956572375,1,0.939444215775787,-0.496262960890033,-0.485582346948993
"thin5to9",-0.460959028483435,0.289727636030695,0.546935946171458,-0.379597513229302,-0.255424415338364,-0.0358871175060124,0.343426221925653,-0.575855963271755,0.538104557823215,-0.0804762977309598,-0.259476889531773,-0.0897386089407252,0.152660095718004,-0.285267659313953,0.442772289020316,0.939444215775787,1,-0.50741813268199,-0.497219895841331
"IncomeComp",0.892017002825082,-0.667555340796607,-0.194623628620228,0.611390715263389,0.445437174716953,0.216309811063674,-0.0412790625825054,0.62880206661869,-0.215790602333856,0.356371400783281,0.263175834905427,0.326884168676663,-0.476662876924803,0.503079222798588,-0.0468743564462042,-0.496262960890033,-0.50741813268199,1,0.915949632281575
"Schooling",0.801796341668998,-0.570877996901948,-0.211116174450918,0.583658950603407,0.397964398616567,0.255165978002655,-0.0626404145197006,0.555856206867194,-0.228966872712799,0.363440042777431,0.302039916291627,0.340517929435487,-0.385705222006329,0.44947903456528,-0.0527852505317997,-0.485582346948993,-0.497219895841331,0.915949632281575,1
