,beta,tax_vacinacao,fracao_suscetiveis,fracao_infectados,fracao_recuperados,fracao_vacinados,rede
0,0.0,0.5,0.0,0.001,0.001,0.999,BA
1,0.02040816326530612,0.5,0.0,0.001307,0.001375,0.998625,BA
2,0.04081632653061224,0.5,1e-06,0.00175,0.002145,0.997854,BA
3,0.061224489795918366,0.5,0.0,0.0024140000000000003,0.003662,0.996338,BA
4,0.08163265306122448,0.5,0.0,0.004149,0.008192999999999999,0.991807,BA
5,0.1020408163265306,0.5,0.0,0.007213,0.016166,0.983834,BA
6,0.12244897959183673,0.5,0.0,0.011401,0.027192,0.972808,BA
7,0.14285714285714285,0.5,0.0,0.017299,0.042429,0.9575710000000001,BA
8,0.16326530612244897,0.5,0.0,0.027654,0.06806699999999999,0.931933,BA
9,0.18367346938775508,0.5,0.0,0.039195999999999995,0.095091,0.904909,BA
10,0.2040816326530612,0.5,0.0,0.056732,0.132613,0.8673869999999999,BA
11,0.22448979591836732,0.5,0.0,0.069539,0.15924000000000002,0.84076,BA
12,0.24489795918367346,0.5,0.0,0.091844,0.20287200000000002,0.7971280000000001,BA
13,0.26530612244897955,0.5,0.0,0.105737,0.226156,0.7738440000000001,BA
14,0.2857142857142857,0.5,0.0,0.129078,0.27001600000000003,0.7299840000000001,BA
15,0.3061224489795918,0.5,0.0,0.149735,0.304376,0.695624,BA
16,0.32653061224489793,0.5,0.0,0.167663,0.332837,0.6671630000000001,BA
17,0.3469387755102041,0.5,0.0,0.197319,0.381366,0.618634,BA
18,0.36734693877551017,0.5,0.0,0.212979,0.401489,0.598511,BA
19,0.3877551020408163,0.5,0.0,0.229798,0.42386900000000005,0.576131,BA
20,0.4081632653061224,0.5,0.0,0.246202,0.443892,0.5561079999999999,BA
21,0.42857142857142855,0.5,0.0,0.27244799999999997,0.48233800000000004,0.5176620000000001,BA
22,0.44897959183673464,0.5,0.0,0.282767,0.491056,0.5089440000000001,BA
23,0.4693877551020408,0.5,0.0,0.301683,0.5141420000000001,0.485858,BA
24,0.4897959183673469,0.5,0.0,0.321768,0.540505,0.459495,BA
25,0.5102040816326531,0.5,0.0,0.335308,0.5549109999999999,0.445089,BA
26,0.5306122448979591,0.5,0.0,0.350048,0.57036,0.42963999999999997,BA
27,0.5510204081632653,0.5,0.0,0.360547,0.580309,0.419691,BA
28,0.5714285714285714,0.5,0.0,0.379767,0.600529,0.399471,BA
29,0.5918367346938775,0.5,0.0,0.398265,0.624612,0.375388,BA
30,0.6122448979591836,0.5,0.0,0.39282799999999995,0.610251,0.389749,BA
31,0.6326530612244897,0.5,0.0,0.411423,0.630611,0.369389,BA
32,0.6530612244897959,0.5,0.0,0.43080599999999997,0.651895,0.348105,BA
33,0.673469387755102,0.5,0.0,0.43938499999999997,0.659976,0.340024,BA
34,0.6938775510204082,0.5,0.0,0.446475,0.664738,0.335262,BA
35,0.7142857142857142,0.5,0.0,0.456843,0.673194,0.326806,BA
36,0.7346938775510203,0.5,0.0,0.465413,0.67886,0.32114,BA
37,0.7551020408163265,0.5,0.0,0.47143999999999997,0.684177,0.31582299999999996,BA
38,0.7755102040816326,0.5,0.0,0.48766699999999996,0.700759,0.299241,BA
39,0.7959183673469387,0.5,0.0,0.495296,0.7061430000000001,0.29385700000000003,BA
40,0.8163265306122448,0.5,0.0,0.506236,0.716915,0.283085,BA
41,0.836734693877551,0.5,0.0,0.511215,0.7197060000000001,0.280294,BA
42,0.8571428571428571,0.5,0.0,0.522282,0.729129,0.270871,BA
43,0.8775510204081632,0.5,0.0,0.52708,0.7311810000000001,0.26881900000000003,BA
44,0.8979591836734693,0.5,0.0,0.5396839999999999,0.7434769999999999,0.256523,BA
45,0.9183673469387754,0.5,0.0,0.552692,0.7583049999999999,0.241695,BA
46,0.9387755102040816,0.5,0.0,0.5442229999999999,0.740968,0.259032,BA
47,0.9591836734693877,0.5,0.0,0.5547000000000001,0.752196,0.247804,BA
48,0.9795918367346939,0.5,0.0,0.572099,0.7714589999999999,0.228541,BA
49,1.0,0.5,0.0,0.569202,0.763109,0.236891,BA
0,0.0,0.5,0.0,0.001,0.001,0.999,ER
1,0.02040816326530612,0.5,0.0,0.0012490000000000001,0.001295,0.9987050000000001,ER
2,0.04081632653061224,0.5,1e-06,0.001609,0.0017980000000000001,0.998201,ER
3,0.061224489795918366,0.5,0.0,0.002079,0.002673,0.997327,ER
4,0.08163265306122448,0.5,0.0,0.0026379999999999997,0.0038079999999999998,0.996192,ER
5,0.1020408163265306,0.5,0.0,0.003417,0.0056500000000000005,0.9943500000000001,ER
6,0.12244897959183673,0.5,0.0,0.004564,0.008718,0.991282,ER
7,0.14285714285714285,0.5,0.0,0.006378,0.013658,0.9863419999999999,ER
8,0.16326530612244897,0.5,0.0,0.008682,0.020458999999999998,0.9795410000000001,ER
9,0.18367346938775508,0.5,0.0,0.012555,0.032042,0.967958,ER
10,0.2040816326530612,0.5,0.0,0.019574,0.052192,0.947808,ER
11,0.22448979591836732,0.5,0.0,0.026091,0.06979099999999999,0.930209,ER
12,0.24489795918367346,0.5,0.0,0.03566299999999999,0.096148,0.903852,ER
13,0.26530612244897955,0.5,0.0,0.049413,0.129589,0.8704109999999999,ER
14,0.2857142857142857,0.5,0.0,0.068595,0.17362899999999998,0.826371,ER
15,0.3061224489795918,0.5,1e-06,0.08218,0.20377099999999998,0.7962279999999999,ER
16,0.32653061224489793,0.5,0.0,0.101404,0.240936,0.759064,ER
17,0.3469387755102041,0.5,0.0,0.12356,0.280224,0.719776,ER
18,0.36734693877551017,0.5,0.0,0.142202,0.31106599999999995,0.6889339999999999,ER
19,0.3877551020408163,0.5,0.0,0.16980199999999998,0.35593,0.64407,ER
20,0.4081632653061224,0.5,0.0,0.187891,0.38095,0.61905,ER
21,0.42857142857142855,0.5,0.0,0.207899,0.409218,0.590782,ER
22,0.44897959183673464,0.5,0.0,0.227927,0.434212,0.565788,ER
23,0.4693877551020408,0.5,0.0,0.255012,0.47019099999999997,0.529809,ER
24,0.4897959183673469,0.5,0.0,0.269858,0.48460899999999996,0.5153909999999999,ER
25,0.5102040816326531,0.5,0.0,0.290285,0.5084069999999999,0.491593,ER
26,0.5306122448979591,0.5,0.0,0.302161,0.5183329999999999,0.48166699999999996,ER
27,0.5510204081632653,0.5,0.0,0.326129,0.54796,0.45204,ER
28,0.5714285714285714,0.5,0.0,0.334942,0.5497000000000001,0.45030000000000003,ER
29,0.5918367346938775,0.5,0.0,0.349464,0.565542,0.434458,ER
30,0.6122448979591836,0.5,0.0,0.370017,0.588097,0.411903,ER
31,0.6326530612244897,0.5,0.0,0.382415,0.599326,0.400674,ER
32,0.6530612244897959,0.5,0.0,0.39646,0.609206,0.390794,ER
33,0.673469387755102,0.5,0.0,0.411051,0.623336,0.376664,ER
34,0.6938775510204082,0.5,0.0,0.427813,0.6424310000000001,0.357569,ER
35,0.7142857142857142,0.5,0.0,0.434495,0.644058,0.355942,ER
36,0.7346938775510203,0.5,0.0,0.452926,0.6658890000000001,0.334111,ER
37,0.7551020408163265,0.5,0.0,0.46211,0.6690389999999999,0.330961,ER
38,0.7755102040816326,0.5,1e-06,0.47001299999999996,0.675037,0.324962,ER
39,0.7959183673469387,0.5,0.0,0.483973,0.686922,0.31307799999999997,ER
40,0.8163265306122448,0.5,0.0,0.486562,0.68574,0.31426,ER
41,0.836734693877551,0.5,0.0,0.497623,0.696,0.304,ER
42,0.8571428571428571,0.5,0.0,0.508483,0.704175,0.295825,ER
43,0.8775510204081632,0.5,0.0,0.516436,0.711125,0.288875,ER
44,0.8979591836734693,0.5,0.0,0.5256109999999999,0.718039,0.281961,ER
45,0.9183673469387754,0.5,0.0,0.5324840000000001,0.721813,0.278187,ER
46,0.9387755102040816,0.5,0.0,0.542729,0.731765,0.268235,ER
47,0.9591836734693877,0.5,0.0,0.555489,0.743029,0.256971,ER
48,0.9795918367346939,0.5,0.0,0.5553769999999999,0.739626,0.26037400000000005,ER
49,1.0,0.5,0.0,0.565329,0.7474109999999999,0.252589,ER
0,0.0,0.5,1e-06,0.001,0.001,0.998999,WS
1,0.02040816326530612,0.5,0.0,0.0012749999999999999,0.001307,0.9986929999999999,WS
2,0.04081632653061224,0.5,0.0,0.0015940000000000001,0.0017909999999999998,0.9982089999999999,WS
3,0.061224489795918366,0.5,0.0,0.0020299999999999997,0.002555,0.997445,WS
4,0.08163265306122448,0.5,0.0,0.0026869999999999997,0.0038929999999999998,0.996107,WS
5,0.1020408163265306,0.5,0.0,0.0032589999999999997,0.0051790000000000004,0.9948210000000001,WS
6,0.12244897959183673,0.5,1e-06,0.004046,0.007284,0.992715,WS
7,0.14285714285714285,0.5,0.0,0.005477,0.011023,0.988977,WS
8,0.16326530612244897,0.5,0.0,0.007304000000000001,0.016257,0.983743,WS
9,0.18367346938775508,0.5,0.0,0.009044,0.021315999999999998,0.978684,WS
10,0.2040816326530612,0.5,0.0,0.013162,0.033325,0.966675,WS
