,beta,tax_vacinacao,fracao_suscetiveis,fracao_infectados,fracao_recuperados,fracao_vacinados,rede
0,0.5,0.0,0.13081,0.548322,0.86919,0.0,BA
1,0.5,0.02040816326530612,0.049113,0.5374410000000001,0.854364,0.096523,BA
2,0.5,0.04081632653061224,0.022076000000000002,0.5185960000000001,0.8268519999999999,0.151072,BA
3,0.5,0.061224489795918366,0.008929,0.514999,0.823041,0.16803,BA
4,0.5,0.08163265306122448,0.0038889999999999997,0.509396,0.816722,0.17938900000000002,BA
5,0.5,0.1020408163265306,0.001946,0.497136,0.79768,0.200374,BA
6,0.5,0.12244897959183673,0.000799,0.498678,0.802431,0.19677,BA
7,0.5,0.14285714285714285,0.000518,0.47748599999999997,0.769363,0.230119,BA
8,0.5,0.16326530612244897,0.000285,0.46460199999999996,0.750559,0.24915600000000002,BA
9,0.5,0.18367346938775508,0.00014399999999999998,0.453683,0.735694,0.26416199999999995,BA
10,0.5,0.2040816326530612,8.599999999999999e-05,0.44393099999999996,0.720087,0.279827,BA
11,0.5,0.22448979591836732,5.1e-05,0.438307,0.7133160000000001,0.28663299999999997,BA
12,0.5,0.24489795918367346,2.9e-05,0.434301,0.708315,0.291656,BA
13,0.5,0.26530612244897955,8e-06,0.427183,0.697332,0.30266000000000004,BA
14,0.5,0.2857142857142857,8e-06,0.40817000000000003,0.6676,0.332392,BA
15,0.5,0.3061224489795918,5e-06,0.395697,0.650223,0.34977199999999997,BA
16,0.5,0.32653061224489793,1e-06,0.386701,0.635562,0.364437,BA
17,0.5,0.3469387755102041,4e-06,0.38337,0.631852,0.368144,BA
18,0.5,0.36734693877551017,0.0,0.381841,0.628595,0.371405,BA
19,0.5,0.3877551020408163,0.0,0.369905,0.609745,0.390255,BA
20,0.5,0.4081632653061224,0.0,0.363252,0.601154,0.398846,BA
21,0.5,0.42857142857142855,0.0,0.35572000000000004,0.590229,0.409771,BA
22,0.5,0.44897959183673464,0.0,0.345986,0.573491,0.426509,BA
23,0.5,0.4693877551020408,0.0,0.340949,0.566587,0.433413,BA
24,0.5,0.4897959183673469,0.0,0.326336,0.543895,0.45610500000000004,BA
25,0.5,0.5102040816326531,0.0,0.315863,0.528002,0.471998,BA
26,0.5,0.5306122448979591,0.0,0.315645,0.52673,0.47326999999999997,BA
27,0.5,0.5510204081632653,0.0,0.30498000000000003,0.511094,0.488906,BA
28,0.5,0.5714285714285714,0.0,0.302744,0.506812,0.493188,BA
29,0.5,0.5918367346938775,0.0,0.29444600000000004,0.492274,0.507726,BA
30,0.5,0.6122448979591836,0.0,0.284183,0.476943,0.523057,BA
31,0.5,0.6326530612244897,0.0,0.278081,0.467348,0.532652,BA
32,0.5,0.6530612244897959,0.0,0.263733,0.443767,0.556233,BA
33,0.5,0.673469387755102,0.0,0.265109,0.446519,0.553481,BA
34,0.5,0.6938775510204082,0.0,0.261467,0.44034500000000004,0.559655,BA
35,0.5,0.7142857142857142,0.0,0.24946000000000002,0.41883800000000004,0.5811620000000001,BA
36,0.5,0.7346938775510203,0.0,0.23755099999999998,0.402373,0.5976269999999999,BA
37,0.5,0.7551020408163265,0.0,0.242841,0.40989600000000004,0.5901040000000001,BA
38,0.5,0.7755102040816326,0.0,0.229187,0.387169,0.612831,BA
39,0.5,0.7959183673469387,0.0,0.221442,0.376169,0.623831,BA
40,0.5,0.8163265306122448,0.0,0.223656,0.37803699999999996,0.6219629999999999,BA
41,0.5,0.836734693877551,0.0,0.216308,0.36570600000000003,0.634294,BA
42,0.5,0.8571428571428571,0.0,0.209823,0.35533,0.64467,BA
43,0.5,0.8775510204081632,0.0,0.20258299999999999,0.343733,0.656267,BA
44,0.5,0.8979591836734693,0.0,0.200299,0.33975900000000003,0.660241,BA
45,0.5,0.9183673469387754,0.0,0.199719,0.338738,0.6612619999999999,BA
46,0.5,0.9387755102040816,0.0,0.188535,0.320016,0.679984,BA
47,0.5,0.9591836734693877,0.0,0.18432099999999998,0.313392,0.686608,BA
48,0.5,0.9795918367346939,0.0,0.181386,0.308321,0.6916789999999999,BA
49,0.5,1.0,0.0,0.179036,0.303668,0.696332,BA
0,0.5,0.0,0.113163,0.579238,0.886837,0.0,ER
1,0.5,0.02040816326530612,0.042489,0.5650599999999999,0.869201,0.08831,ER
2,0.5,0.04081632653061224,0.015009999999999999,0.560393,0.86754,0.11745,ER
3,0.5,0.061224489795918366,0.006898,0.5406040000000001,0.843313,0.14978899999999998,ER
4,0.5,0.08163265306122448,0.003362,0.524817,0.820766,0.175872,ER
5,0.5,0.1020408163265306,0.001734,0.505934,0.7979310000000001,0.200335,ER
6,0.5,0.12244897959183673,0.0008399999999999999,0.496062,0.7841,0.21506,ER
