,beta,fracao_suscetiveis,fracao_infectados,fracao_recuperados,maior_componente,vertices_removidos,rede
0,0.5,0.13964815666517366,0.540424308192076,0.8603518433348263,0.999,0.001,BA
0,0.5,0.1348217477038245,0.5417136878968357,0.8651782522961755,0.998,0.002,BA
0,0.5,0.1481978533393561,0.5301471113440622,0.8518021466606439,0.997,0.003,BA
0,0.5,0.1505036209093402,0.5269743633167208,0.8494963790906599,0.996,0.004,BA
0,0.5,0.14508017474306203,0.5279391934547107,0.8549198252569379,0.995,0.005,BA
0,0.5,0.15649328566975293,0.5187432441732892,0.843506714330247,0.994,0.006,BA
0,0.5,0.14881816218058128,0.521524792378472,0.8511818378194187,0.993,0.007,BA
0,0.5,0.1452588449531738,0.521196792078564,0.8547411550468262,0.992,0.008,BA
0,0.5,0.16183797466807728,0.5094620504825976,0.8381620253319227,0.991,0.009,BA
0,0.5,0.15806652382409958,0.5095500459136822,0.8419334761759004,0.99,0.01,BA
0,0.5,0.1574478004255097,0.5081007360030099,0.8425521995744902,0.989,0.011,BA
0,0.5,0.1408193873035126,0.5155765952564376,0.8591806126964874,0.988,0.012,BA
0,0.5,0.1611588954277954,0.501538234125701,0.8388411045722046,0.987,0.013,BA
0,0.5,0.15180478010606915,0.5064431452094023,0.8481952198939309,0.986,0.014,BA
0,0.5,0.16224896286943752,0.4981236311164936,0.8377510371305625,0.985,0.015,BA
0,0.5,0.13836113589794435,0.5100717165708243,0.8616388641020557,0.984,0.016,BA
0,0.5,0.1749631838921896,0.48706339407775523,0.8250368161078103,0.983,0.017,BA
0,0.5,0.15628460973697636,0.49503797478855655,0.8437153902630236,0.982,0.018,BA
0,0.5,0.16165659248452505,0.49156293740082985,0.838343407515475,0.981,0.019,BA
0,0.5,0.15498334027488547,0.494240941274469,0.8450166597251145,0.98,0.02,BA
0,0.5,0.1583269079682526,0.4901543235316519,0.8416730920317474,0.979,0.021,BA
0,0.5,0.15600156406170934,0.4902246143166012,0.8439984359382906,0.978,0.022,BA
0,0.5,0.17824602500290718,0.4763113535576185,0.8217539749970928,0.977,0.023,BA
0,0.5,0.1807813759742005,0.4740598125503897,0.8192186240257995,0.976,0.024,BA
0,0.5,0.18337619986850756,0.47042629848783696,0.8166238001314924,0.975,0.025,BA
0,0.5,0.14846164549329802,0.4881234478367746,0.8515383545067019,0.974,0.026,BA
0,0.5,0.15283359863276608,0.4847944871235591,0.847166401367234,0.973,0.027,BA
