,beta,fracao_suscetiveis,fracao_infectados,rede
0,0.0,1.0,0.0,BA
1,0.010526315789473684,1.0,0.0,BA
2,0.021052631578947368,1.0,0.0,BA
3,0.031578947368421054,1.0,0.0,BA
4,0.042105263157894736,1.0,0.0,BA
5,0.05263157894736842,1.0,0.0,BA
6,0.06315789473684211,1.0,0.0,BA
7,0.07368421052631578,0.999949,5.1e-05,BA
8,0.08421052631578947,0.9998049999999999,0.000195,BA
9,0.09473684210526316,0.999126,0.000874,BA
10,0.10526315789473684,0.997442,0.002558,BA
11,0.11578947368421053,0.9932960000000001,0.006704,BA
12,0.12631578947368421,0.989269,0.010731,BA
13,0.1368421052631579,0.9864930000000001,0.013507,BA
14,0.14736842105263157,0.9743099999999999,0.02569,BA
15,0.15789473684210525,0.9696079999999999,0.030392,BA
16,0.16842105263157894,0.958999,0.041000999999999996,BA
17,0.17894736842105263,0.9465309999999999,0.053469,BA
18,0.18947368421052632,0.947415,0.052585,BA
19,0.2,0.93784,0.06216,BA
0,0.0,1.0,0.0,ER
1,0.010526315789473684,1.0,0.0,ER
2,0.021052631578947368,1.0,0.0,ER
3,0.031578947368421054,1.0,0.0,ER
4,0.042105263157894736,1.0,0.0,ER
5,0.05263157894736842,1.0,0.0,ER
6,0.06315789473684211,1.0,0.0,ER
7,0.07368421052631578,1.0,0.0,ER
8,0.08421052631578947,1.0,0.0,ER
9,0.09473684210526316,1.0,0.0,ER
10,0.10526315789473684,0.999999,1e-06,ER
11,0.11578947368421053,0.999996,4e-06,ER
12,0.12631578947368421,0.999992,8e-06,ER
13,0.1368421052631579,0.999989,1.1e-05,ER
14,0.14736842105263157,0.999873,0.000127,ER
15,0.15789473684210525,0.999442,0.000558,ER
16,0.16842105263157894,0.9989790000000001,0.001021,ER
17,0.17894736842105263,0.997783,0.0022170000000000002,ER
18,0.18947368421052632,0.9927509999999999,0.007248999999999999,ER
19,0.2,0.9884120000000001,0.011588,ER
0,0.0,1.0,0.0,WS
1,0.010526315789473684,1.0,0.0,WS
2,0.021052631578947368,1.0,0.0,WS
3,0.031578947368421054,1.0,0.0,WS
4,0.042105263157894736,1.0,0.0,WS
5,0.05263157894736842,1.0,0.0,WS
6,0.06315789473684211,1.0,0.0,WS
7,0.07368421052631578,1.0,0.0,WS
8,0.08421052631578947,1.0,0.0,WS
9,0.09473684210526316,1.0,0.0,WS
10,0.10526315789473684,0.999999,1e-06,WS
11,0.11578947368421053,0.99999,1e-05,WS
12,0.12631578947368421,0.999995,5e-06,WS
13,0.1368421052631579,0.999999,1e-06,WS
14,0.14736842105263157,0.99999,1e-05,WS
15,0.15789473684210525,0.999958,4.2000000000000004e-05,WS
16,0.16842105263157894,0.999936,6.4e-05,WS
17,0.17894736842105263,0.9998360000000001,0.000164,WS
18,0.18947368421052632,0.999687,0.000313,WS
19,0.2,0.999089,0.000911,WS
0,0.0,1.0,0.0,BA-NL
1,0.010526315789473684,1.0,0.0,BA-NL
2,0.021052631578947368,1.0,0.0,BA-NL
3,0.031578947368421054,1.0,0.0,BA-NL
4,0.042105263157894736,1.0,0.0,BA-NL
5,0.05263157894736842,1.0,0.0,BA-NL
6,0.06315789473684211,1.0,0.0,BA-NL
7,0.07368421052631578,0.999981,1.9e-05,BA-NL
8,0.08421052631578947,0.9999669999999999,3.3e-05,BA-NL
9,0.09473684210526316,0.999916,8.400000000000001e-05,BA-NL
10,0.10526315789473684,0.9989349999999999,0.001065,BA-NL
11,0.11578947368421053,0.997814,0.002186,BA-NL
12,0.12631578947368421,0.995516,0.004484,BA-NL
13,0.1368421052631579,0.989162,0.010837999999999999,BA-NL
14,0.14736842105263157,0.9838640000000001,0.016135999999999998,BA-NL
15,0.15789473684210525,0.980171,0.019829,BA-NL
16,0.16842105263157894,0.966601,0.033399,BA-NL
17,0.17894736842105263,0.961781,0.038219,BA-NL
18,0.18947368421052632,0.9471839999999999,0.052816,BA-NL
19,0.2,0.935132,0.064868,BA-NL
